class,GRE Score,TOEFL Score,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admit
1,337,118,4,4,4,9.65,1,0.92
1,324,107,4,4,4,8.87,1,0.76
1,316,104,3,3,3,8.0,1,0.72
1,322,110,3,3,2,8.67,1,0.8
1,314,103,2,2,3,8.21,0,0.65
1,330,115,5,4,3,9.34,1,0.9
1,321,109,3,3,4,8.2,1,0.75
1,308,101,2,3,4,7.9,0,0.68
1,302,102,1,2,1,8.0,0,0.5
0,323,108,3,3,3,8.6,0,0.45
1,325,106,3,3,4,8.4,1,0.52
1,327,111,4,4,4,9.0,1,0.84
1,328,112,4,4,4,9.1,1,0.78
1,307,109,3,4,3,8.0,1,0.62
1,311,104,3,3,2,8.2,1,0.61
1,314,105,3,3,2,8.3,0,0.54
1,317,107,3,4,3,8.7,0,0.66
1,319,106,3,4,3,8.0,1,0.65
1,318,110,3,4,3,8.8,0,0.63
1,303,102,3,3,3,8.5,0,0.62
1,312,107,3,3,2,7.9,1,0.64
1,325,114,4,3,2,8.4,0,0.7
1,328,116,5,5,5,9.5,1,0.94
1,334,119,5,5,4,9.7,1,0.95
1,336,119,5,4,3,9.8,1,0.97
1,340,120,5,4,4,9.6,1,0.94
1,322,109,5,4,3,8.8,0,0.76
0,298,98,2,1,2,7.5,1,0.44
0,295,93,1,2,2,7.2,0,0.46
1,310,99,2,1,2,7.3,0,0.54
1,300,97,2,3,3,8.1,1,0.65
1,327,103,3,4,4,8.3,1,0.74
1,338,118,4,3,4,9.4,1,0.91
1,340,114,5,4,4,9.6,1,0.9
1,331,112,5,4,5,9.8,1,0.94
1,320,110,5,5,5,9.2,1,0.88
1,299,106,2,4,4,8.4,0,0.64
1,300,105,1,1,2,7.8,0,0.58
1,304,105,1,3,1,7.5,0,0.52
0,307,108,2,4,3,7.7,0,0.48
0,308,110,3,3,3,8.0,1,0.46
0,316,105,2,2,2,8.2,1,0.49
1,313,107,2,2,2,8.5,1,0.53
1,332,117,4,4,4,9.1,0,0.87
1,326,113,5,4,4,9.4,1,0.91
1,322,110,5,5,4,9.1,1,0.88
1,329,114,5,4,5,9.3,1,0.86
1,339,119,5,4,4,9.7,0,0.89
1,321,110,3,3,5,8.85,1,0.82
1,327,111,4,3,4,8.4,1,0.78
1,313,98,3,2,4,8.3,1,0.76
1,312,100,2,1,3,7.9,1,0.56
1,334,116,4,4,3,8.0,1,0.78
1,324,112,4,4,2,8.1,1,0.72
1,322,110,3,3,3,8.0,0,0.7
1,320,103,3,3,3,7.7,0,0.64
1,316,102,3,2,3,7.4,0,0.64
0,298,99,2,4,2,7.6,0,0.46
0,300,99,1,3,2,6.8,1,0.36
0,311,104,2,2,2,8.3,0,0.42
0,309,100,2,3,3,8.1,0,0.48
0,307,101,3,4,3,8.2,0,0.47
1,304,105,2,3,3,8.2,1,0.54
1,315,107,2,4,3,8.5,1,0.56
1,325,111,3,3,3,8.7,0,0.52
1,325,112,4,3,3,8.92,0,0.55
1,327,114,3,3,3,9.02,0,0.61
1,316,107,2,3,3,8.64,1,0.57
1,318,109,3,3,4,9.22,1,0.68
1,328,115,4,4,4,9.16,1,0.78
1,332,118,5,5,5,9.64,1,0.94
1,336,112,5,5,5,9.76,1,0.96
1,321,111,5,5,5,9.45,1,0.93
1,314,108,4,4,4,9.04,1,0.84
1,314,106,3,3,5,8.9,0,0.74
1,329,114,2,2,4,8.56,1,0.72
1,327,112,3,3,3,8.72,1,0.74
1,301,99,2,3,2,8.22,0,0.64
0,296,95,2,3,2,7.54,1,0.44
0,294,93,1,1,2,7.36,0,0.46
1,312,105,3,2,3,8.02,1,0.5
1,340,120,4,5,5,9.5,1,0.96
1,320,110,5,5,4,9.22,1,0.92
1,322,115,5,4,4,9.36,1,0.92
1,340,115,5,4,4,9.45,1,0.94
1,319,103,4,4,3,8.66,0,0.76
1,315,106,3,4,3,8.42,0,0.72
1,317,107,2,3,3,8.28,0,0.66
1,314,108,3,4,3,8.14,0,0.64
1,316,109,4,4,3,8.76,1,0.74
1,318,106,2,4,4,7.92,1,0.64
0,299,97,3,5,3,7.66,0,0.38
0,298,98,2,4,3,8.03,0,0.34
0,301,97,2,3,3,7.88,1,0.44
0,303,99,3,2,2,7.66,0,0.36
0,304,100,4,1,2,7.84,0,0.42
0,306,100,2,3,3,8.0,0,0.48
1,331,120,3,4,4,8.96,1,0.86
1,332,119,4,5,4,9.24,1,0.9
1,323,113,3,4,4,8.88,1,0.79
1,322,107,3,3,3,8.46,1,0.71
1,312,105,2,2,3,8.12,0,0.64
1,314,106,2,4,3,8.25,0,0.62
1,317,104,2,4,4,8.47,0,0.57
1,326,112,3,3,3,9.05,1,0.74
1,316,110,3,4,4,8.78,1,0.69
1,329,111,4,4,4,9.18,1,0.87
1,338,117,4,3,4,9.46,1,0.91
1,331,116,5,5,5,9.38,1,0.93
1,304,103,5,5,4,8.64,0,0.68
1,305,108,5,3,3,8.48,0,0.61
1,321,109,4,4,4,8.68,1,0.69
1,301,107,3,3,3,8.34,1,0.62
1,320,110,2,4,3,8.56,0,0.72
1,311,105,3,3,3,8.45,1,0.59
1,310,106,4,4,4,9.04,1,0.66
1,299,102,3,4,3,8.62,0,0.56
0,290,104,4,2,2,7.46,0,0.45
0,296,99,2,3,3,7.28,0,0.47
1,327,104,5,3,3,8.84,1,0.71
1,335,117,5,5,5,9.56,1,0.94
1,334,119,5,4,4,9.48,1,0.94
1,310,106,4,1,2,8.36,0,0.57
1,308,108,3,3,3,8.22,0,0.61
1,301,106,4,2,3,8.47,0,0.57
1,300,100,3,2,3,8.66,1,0.64
1,323,113,3,4,3,9.32,1,0.85
1,319,112,3,2,2,8.71,1,0.78
1,326,112,3,3,3,9.1,1,0.84
1,333,118,5,5,5,9.35,1,0.92
1,339,114,5,4,4,9.76,1,0.96
1,303,105,5,5,4,8.65,0,0.77
1,309,105,5,3,3,8.56,0,0.71
1,323,112,5,4,4,8.78,0,0.79
1,333,113,5,4,4,9.28,1,0.89
1,314,109,4,3,4,8.77,1,0.82
1,312,103,3,5,4,8.45,0,0.76
1,316,100,2,1,3,8.16,1,0.71
1,326,116,2,4,3,9.08,1,0.8
1,318,109,1,3,3,9.12,0,0.78
1,329,110,2,4,3,9.15,1,0.84
1,332,118,2,4,3,9.36,1,0.9
1,331,115,5,4,3,9.44,1,0.92
1,340,120,4,4,4,9.92,1,0.97
1,325,112,2,3,3,8.96,1,0.8
1,320,113,2,2,2,8.64,1,0.81
1,315,105,3,2,2,8.48,0,0.75
1,326,114,3,3,3,9.11,1,0.83
1,339,116,4,4,3,9.8,1,0.96
1,311,106,2,3,3,8.26,1,0.79
1,334,114,4,4,4,9.43,1,0.93
1,332,116,5,5,5,9.28,1,0.94
1,321,112,5,5,5,9.06,1,0.86
1,324,105,3,3,4,8.75,0,0.79
1,326,108,3,3,3,8.89,0,0.8
1,312,109,3,3,3,8.69,0,0.77
1,315,105,3,2,2,8.34,0,0.7
1,309,104,2,2,2,8.26,0,0.65
1,306,106,2,2,2,8.14,0,0.61
1,297,100,1,1,2,7.9,0,0.52
1,315,103,1,1,2,7.86,0,0.57
1,298,99,1,1,3,7.46,0,0.53
1,318,109,3,3,3,8.5,0,0.67
1,317,105,3,3,3,8.56,0,0.68
1,329,111,4,4,4,9.01,1,0.81
1,322,110,5,4,4,8.97,0,0.78
1,302,102,3,3,5,8.33,0,0.65
1,313,102,3,2,3,8.27,0,0.64
1,293,97,2,2,4,7.8,1,0.64
1,311,99,2,2,3,7.98,0,0.65
1,312,101,2,2,3,8.04,1,0.68
1,334,117,5,4,4,9.07,1,0.89
1,322,110,4,4,5,9.13,1,0.86
1,323,113,4,4,4,9.23,1,0.89
1,321,111,4,4,4,8.97,1,0.87
1,320,111,4,4,3,8.87,1,0.85
1,329,119,4,4,4,9.16,1,0.9
1,319,110,3,3,3,9.04,0,0.82
1,309,108,3,2,3,8.12,0,0.72
1,307,102,3,3,3,8.27,0,0.73
1,300,104,3,3,3,8.16,0,0.71
1,305,107,2,2,2,8.42,0,0.71
1,299,100,2,3,3,7.88,0,0.68
1,314,110,3,4,4,8.8,0,0.75
1,316,106,2,2,4,8.32,0,0.72
1,327,113,4,4,4,9.11,1,0.89
1,317,107,3,3,3,8.68,1,0.84
1,335,118,5,4,3,9.44,1,0.93
1,331,115,5,4,3,9.36,1,0.93
1,324,112,5,5,5,9.08,1,0.88
1,324,111,5,4,4,9.16,1,0.9
1,323,110,5,4,5,8.98,1,0.87
1,322,114,5,4,4,8.94,1,0.86
1,336,118,5,4,5,9.53,1,0.94
1,316,109,3,3,3,8.76,0,0.77
1,307,107,2,3,3,8.52,1,0.78
1,306,105,2,3,2,8.26,0,0.73
1,310,106,2,3,2,8.33,0,0.73
1,311,104,3,4,4,8.43,0,0.7
1,313,107,3,4,4,8.69,0,0.72
1,317,103,3,2,3,8.54,1,0.73
1,315,110,2,3,3,8.46,1,0.72
1,340,120,5,4,4,9.91,1,0.97
1,334,120,5,4,5,9.87,1,0.97
1,298,105,3,3,4,8.54,0,0.69
1,295,99,2,2,3,7.65,0,0.57
1,315,99,2,3,3,7.89,0,0.63
1,310,102,3,3,4,8.02,1,0.66
1,305,106,2,3,3,8.16,0,0.64
1,301,104,3,3,4,8.12,1,0.68
1,325,108,4,4,4,9.06,1,0.79
1,328,110,4,5,4,9.14,1,0.82
1,338,120,4,5,5,9.66,1,0.95
1,333,119,5,5,4,9.78,1,0.96
1,331,117,4,4,5,9.42,1,0.94
1,330,116,5,5,4,9.36,1,0.93
1,322,112,4,4,4,9.26,1,0.91
1,321,109,4,4,4,9.13,1,0.85
1,324,110,4,3,3,8.97,1,0.84
1,312,104,3,3,3,8.42,0,0.74
1,313,103,3,4,4,8.75,0,0.76
1,316,110,3,3,4,8.56,0,0.75
1,324,113,4,4,4,8.79,0,0.76
1,308,109,2,3,4,8.45,0,0.71
1,305,105,2,3,2,8.23,0,0.67
1,296,99,2,2,2,8.03,0,0.61
1,306,110,2,3,4,8.45,0,0.63
1,312,110,2,3,3,8.53,0,0.64
1,318,112,3,4,3,8.67,0,0.71
1,324,111,4,3,3,9.01,1,0.82
1,313,104,3,4,4,8.65,0,0.73
1,319,106,3,3,2,8.33,1,0.74
1,312,107,2,2,3,8.27,0,0.69
1,304,100,2,2,3,8.07,0,0.64
1,330,113,5,5,4,9.31,1,0.91
1,326,111,5,4,4,9.23,1,0.88
1,325,112,4,4,4,9.17,1,0.85
1,329,114,5,4,5,9.19,1,0.86
1,310,104,3,2,3,8.37,0,0.7
1,299,100,1,1,2,7.89,0,0.59
1,296,101,1,2,3,7.68,0,0.6
1,317,103,2,2,2,8.15,0,0.65
1,324,115,3,3,3,8.76,1,0.7
1,325,114,3,3,3,9.04,1,0.76
1,314,107,2,2,4,8.56,0,0.63
1,328,110,4,4,2,9.02,1,0.81
1,316,105,3,3,3,8.73,0,0.72
1,311,104,2,2,3,8.48,0,0.71
1,324,110,3,3,4,8.87,1,0.8
1,321,111,3,3,4,8.83,1,0.77
1,320,104,3,3,2,8.57,1,0.74
1,316,99,2,2,3,9.0,0,0.7
1,318,100,2,2,3,8.54,1,0.71
1,335,115,4,4,4,9.68,1,0.93
1,321,114,4,4,5,9.12,0,0.85
1,307,110,4,4,4,8.37,0,0.79
1,309,99,3,4,4,8.56,0,0.76
1,324,100,3,4,5,8.64,1,0.78
1,326,102,4,5,5,8.76,1,0.77
1,331,119,4,5,4,9.34,1,0.9
1,327,108,5,5,3,9.13,1,0.87
1,312,104,3,3,4,8.09,0,0.71
1,308,103,2,2,4,8.36,1,0.7
1,324,111,3,2,1,8.79,1,0.7
1,325,110,2,3,2,8.76,1,0.75
1,313,102,3,2,2,8.68,0,0.71
1,312,105,2,2,2,8.45,0,0.72
1,314,107,3,3,3,8.17,1,0.73
1,327,113,4,4,5,9.14,0,0.83
1,308,108,4,4,5,8.34,0,0.77
1,306,105,2,2,3,8.22,1,0.72
1,299,96,2,1,2,7.86,0,0.54
0,294,95,1,1,1,7.64,0,0.49
1,312,99,1,1,1,8.01,1,0.52
1,315,100,1,2,2,7.95,0,0.58
1,322,110,3,3,3,8.96,1,0.78
1,329,113,5,5,4,9.45,1,0.89
1,320,101,2,2,3,8.62,0,0.7
1,308,103,2,3,3,8.49,0,0.66
1,304,102,2,3,4,8.73,0,0.67
1,311,102,3,4,4,8.64,1,0.68
1,317,110,3,4,4,9.11,1,0.8
1,312,106,3,4,3,8.79,1,0.81
1,321,111,3,2,3,8.9,1,0.8
1,340,112,4,5,4,9.66,1,0.94
1,331,116,5,4,4,9.26,1,0.93
1,336,118,5,4,4,9.19,1,0.92
1,324,114,5,5,4,9.08,1,0.89
1,314,104,4,5,5,9.02,0,0.82
1,313,109,3,4,3,9.0,0,0.79
1,307,105,2,2,3,7.65,0,0.58
1,300,102,2,1,2,7.87,0,0.56
1,302,99,2,1,2,7.97,0,0.56
1,312,98,1,3,3,8.18,1,0.64
1,316,101,2,2,2,8.32,1,0.61
1,317,100,2,3,2,8.57,0,0.68
1,310,107,3,3,3,8.67,0,0.76
1,320,120,3,4,4,9.11,0,0.86
1,330,114,3,4,4,9.24,1,0.9
1,305,112,3,3,3,8.65,0,0.71
1,309,106,2,2,2,8.0,0,0.62
1,319,108,2,2,3,8.76,0,0.66
1,322,105,2,3,3,8.45,1,0.65
1,323,107,3,3,3,8.55,1,0.73
1,313,106,2,2,2,8.43,0,0.62
1,321,109,3,3,3,8.8,1,0.74
1,323,110,3,4,3,9.1,1,0.79
1,325,112,4,4,4,9.0,1,0.8
1,312,108,3,3,3,8.53,0,0.69
1,308,110,4,3,3,8.6,0,0.7
1,320,104,3,3,3,8.74,1,0.76
1,328,108,4,4,4,9.18,1,0.84
1,311,107,4,4,4,9.0,1,0.78
1,301,100,3,3,3,8.04,0,0.67
1,305,105,2,3,4,8.13,0,0.66
1,308,104,2,2,3,8.07,0,0.65
1,298,101,2,1,2,7.86,0,0.54
1,300,99,1,1,2,8.01,0,0.58
1,324,111,3,2,2,8.8,1,0.79
1,327,113,4,3,3,8.69,1,0.8
1,317,106,3,4,3,8.5,1,0.75
1,323,104,3,4,4,8.44,1,0.73
1,314,107,2,2,4,8.27,0,0.72
1,305,102,2,2,2,8.18,0,0.62
1,315,104,3,3,2,8.33,0,0.67
1,326,116,3,3,4,9.14,1,0.81
1,299,100,3,2,2,8.02,0,0.63
1,295,101,2,2,2,7.86,0,0.69
1,324,112,4,4,3,8.77,1,0.8
0,297,96,2,2,1,7.89,0,0.43
1,327,113,3,3,3,8.66,1,0.8
1,311,105,2,3,2,8.12,1,0.73
1,308,106,3,3,2,8.21,1,0.75
1,319,108,3,3,3,8.54,1,0.71
1,312,107,4,4,4,8.65,1,0.73
1,325,111,4,4,4,9.11,1,0.83
1,319,110,3,3,2,8.79,0,0.72
1,332,118,5,5,5,9.47,1,0.94
1,323,108,5,4,4,8.74,1,0.81
1,324,107,5,3,4,8.66,1,0.81
1,312,107,3,3,3,8.46,1,0.75
1,326,110,3,3,3,8.76,1,0.79
1,308,106,3,3,3,8.24,0,0.58
1,305,103,2,2,3,8.13,0,0.59
0,295,96,2,1,2,7.34,0,0.47
0,316,98,1,1,2,7.43,0,0.49
0,304,97,2,1,2,7.64,0,0.47
0,299,94,1,1,1,7.34,0,0.42
1,302,99,1,2,2,7.25,0,0.57
1,313,101,3,2,3,8.04,0,0.62
1,318,107,3,3,3,8.27,1,0.74
1,325,110,4,3,4,8.67,1,0.73
1,303,100,2,3,3,8.06,1,0.64
1,300,102,3,3,2,8.17,0,0.63
1,297,98,2,2,3,7.67,0,0.59
1,317,106,2,2,3,8.12,0,0.73
1,327,109,3,3,4,8.77,1,0.79
1,301,104,2,3,3,7.89,1,0.68
1,314,105,2,2,2,7.64,0,0.7
1,321,107,2,2,1,8.44,0,0.81
1,322,110,3,4,5,8.64,1,0.85
1,334,116,4,4,3,9.54,1,0.93
1,338,115,5,4,5,9.23,1,0.91
1,306,103,2,2,3,8.36,0,0.69
1,313,102,3,3,4,8.9,1,0.77
1,330,114,4,4,3,9.17,1,0.86
1,320,104,3,3,4,8.34,1,0.74
1,311,98,1,1,2,7.46,0,0.57
1,298,92,1,2,2,7.88,0,0.51
1,301,98,1,2,3,8.03,1,0.67
1,310,103,2,2,2,8.24,0,0.72
1,324,110,3,3,3,9.22,1,0.89
1,336,119,4,4,4,9.62,1,0.95
1,321,109,3,3,3,8.54,1,0.79
0,315,105,2,2,2,7.65,0,0.39
0,304,101,2,2,2,7.66,0,0.38
0,297,96,2,2,2,7.43,0,0.34
0,290,100,1,1,2,7.56,0,0.47
1,303,98,1,2,2,7.65,0,0.56
1,311,99,1,2,3,8.43,1,0.71
1,322,104,3,3,4,8.84,1,0.78
1,319,105,3,3,3,8.67,1,0.73
1,324,110,4,4,4,9.15,1,0.82
1,300,100,3,3,3,8.26,0,0.62
1,340,113,4,5,5,9.74,1,0.96
1,335,117,5,5,5,9.82,1,0.96
0,302,101,2,2,3,7.96,0,0.46
1,307,105,2,2,3,8.1,0,0.53
0,296,97,2,1,2,7.8,0,0.49
1,320,108,3,3,4,8.44,1,0.76
1,314,102,2,2,2,8.24,0,0.64
1,318,106,3,2,3,8.65,0,0.71
1,326,112,4,4,3,9.12,1,0.84
1,317,104,2,3,3,8.76,0,0.77
1,329,111,4,4,4,9.23,1,0.89
1,324,110,3,3,3,9.04,1,0.82
1,325,107,3,3,3,9.11,1,0.84
1,330,116,4,5,4,9.45,1,0.91
1,312,103,3,3,4,8.78,0,0.67
1,333,117,4,5,4,9.66,1,0.95
1,304,100,2,3,3,8.22,0,0.63
1,315,105,2,3,3,8.34,0,0.66
1,324,109,3,3,3,8.94,1,0.78
1,330,116,4,4,3,9.23,1,0.91
1,311,101,3,2,2,7.64,1,0.62
1,302,99,3,2,3,7.45,0,0.52
1,322,103,4,3,2,8.02,1,0.61
1,298,100,3,2,4,7.95,1,0.58
1,297,101,3,2,4,7.67,1,0.57
1,300,98,1,2,2,8.02,0,0.61
1,301,96,1,3,4,7.56,0,0.54
1,313,94,2,2,1,8.13,0,0.56
1,314,102,4,2,2,7.88,1,0.59
0,317,101,3,3,2,7.94,1,0.49
1,321,110,4,3,4,8.35,1,0.72
1,327,106,4,4,4,8.75,1,0.76
1,315,104,3,4,2,8.1,0,0.65
1,316,103,3,3,2,7.68,0,0.52
1,309,111,2,2,4,8.03,0,0.6
1,308,102,2,2,3,7.98,1,0.58
0,299,100,3,2,3,7.42,0,0.42
1,321,112,3,3,4,8.95,1,0.77
1,322,112,4,3,2,9.02,1,0.73
1,334,119,5,4,5,9.54,1,0.94
1,325,114,5,4,5,9.46,1,0.91
1,323,111,5,4,5,9.86,1,0.92
1,312,106,3,3,5,8.57,0,0.71
1,310,101,3,3,5,8.65,1,0.71
1,316,103,2,2,4,8.74,0,0.69
1,340,115,5,5,4,9.06,1,0.95
1,311,104,3,4,3,8.13,1,0.74
1,320,112,2,3,3,8.78,1,0.73
1,324,112,4,4,4,9.22,1,0.86
1,316,111,4,4,5,8.54,0,0.71
1,306,103,3,3,3,8.21,0,0.64
1,309,105,2,2,4,7.68,0,0.55
1,310,110,1,1,4,7.23,1,0.58
1,317,106,1,1,3,7.65,1,0.61
1,318,110,1,2,3,8.54,1,0.67
1,312,105,2,1,3,8.46,0,0.66
1,305,104,2,2,1,7.79,0,0.53
1,332,112,1,1,3,8.66,1,0.79
1,331,116,4,4,4,9.44,1,0.92
1,321,114,5,4,4,9.16,1,0.87
1,324,113,5,4,5,9.25,1,0.92
1,328,116,5,4,5,9.08,1,0.91
1,327,118,4,5,5,9.67,1,0.93
1,320,108,3,3,5,8.97,1,0.84
1,312,109,2,2,4,9.02,0,0.8
1,315,101,3,3,4,9.13,0,0.79
1,320,112,4,3,4,8.86,1,0.82
1,324,113,4,4,4,9.25,1,0.89
1,328,116,4,5,3,9.6,1,0.93
1,319,103,3,2,4,8.76,1,0.73
1,310,105,2,3,3,8.01,0,0.71
1,305,102,2,1,2,7.64,0,0.59
1,299,100,2,2,2,7.88,0,0.51
0,295,99,1,2,1,7.57,0,0.37
1,312,100,1,3,3,8.53,1,0.69
1,329,113,4,4,3,9.36,1,0.89
1,319,105,4,4,4,8.66,1,0.77
1,301,102,3,2,2,8.13,1,0.68
1,307,105,4,3,3,7.94,0,0.62
1,304,107,3,3,3,7.86,0,0.57
0,298,97,2,2,3,7.21,0,0.45
1,305,96,4,3,4,8.26,0,0.54
1,314,99,4,3,4,8.73,1,0.71
1,318,101,5,3,5,8.78,1,0.78
1,323,110,4,4,5,8.88,1,0.81
1,326,114,4,4,3,9.16,1,0.86
1,320,110,5,4,4,9.27,1,0.87
1,311,103,3,2,4,8.09,0,0.64
1,327,116,4,4,4,9.48,1,0.9
1,316,102,2,4,3,8.15,0,0.67
1,308,105,4,3,2,7.95,1,0.67
1,300,101,3,3,2,7.88,0,0.59
1,304,104,3,2,2,8.12,0,0.62
1,309,105,4,3,2,8.18,0,0.65
1,318,103,3,4,4,8.49,1,0.71
1,325,110,4,4,4,8.96,1,0.79
1,321,102,3,3,4,9.01,1,0.8
1,323,107,4,3,2,8.48,1,0.78
1,328,113,4,4,2,8.77,1,0.83
1,304,103,5,5,3,7.92,0,0.71
1,317,106,3,3,3,7.89,1,0.73
1,311,101,2,2,3,8.34,1,0.7
1,319,102,3,2,2,8.37,0,0.68
1,327,115,4,3,4,9.14,0,0.79
1,322,112,3,3,4,8.62,1,0.76
1,302,110,3,4,4,8.5,0,0.65
1,307,105,2,2,4,8.12,1,0.67
1,297,99,4,3,3,7.81,0,0.54
1,298,101,4,2,4,7.69,1,0.53
1,300,95,2,3,1,8.22,1,0.62
1,301,99,3,2,2,8.45,1,0.68
1,332,108,5,4,4,9.02,1,0.87
1,337,117,5,5,5,9.87,1,0.96
1,330,120,5,4,5,9.56,1,0.93
1,312,103,4,4,5,8.43,0,0.73
